tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,rank1,rank2,pts1,pts2,odd1,odd2,score
BNP Paribas Open,3/11/2022,Masters 1000,Outdoor,Hard,1st Round,3,Koepfer D.,14.95,Paire B.,15.04,Koepfer D.,51,53,1054,1040,1.9,1.9,2-6 7-5 6-4
BNP Paribas Open,3/11/2022,Masters 1000,Outdoor,Hard,1st Round,3,Broady L.,14.94,Kecmanovic M.,15.29,Kecmanovic M.,124,61,528,921,2.75,1.44,4-6 6-4 4-6
BNP Paribas Open,3/11/2022,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,15.54,Kukushkin M.,14.84,Paul T.,39,154,1252,386,1.22,4.33,6-4 6-4
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,15.16,Rune H.,14.89,Rune H.,42,86,1178,750,1.8,2.0,3-6 2-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Millman J.,15.12,Struff J.L.,UR,Millman J.,77,58,818,984,1.53,2.5,7-6 6-4
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Laaksonen H.,15.16,Bagnis F.,15.07,Bagnis F.,87,82,741,781,1.57,2.37,3-6 6-7
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Johnson S.,14.97,Altmaier D.,14.9,Johnson S.,115,79,594,797,1.9,1.9,6-3 7-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Bedene A.,15.31,Majchrzak K.,15.17,Majchrzak K.,133,75,485,823,4.33,1.22,1-6 5-7
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,15.51,Sandgren T.,14.8,Van De Zandschulp B.,47,153,1096,396,1.33,3.4,6-4 6-2
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Griekspoor T.,15.44,Querrey S.,15.05,Querrey S.,54,114,1024,595,1.22,4.33,7-6 2-6 4-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,15.46,Mannarino A.,15.3,Nakashima B.,80,66,793,904,1.57,2.37,6-2 7-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Mcdonald M.,15.51,Alcaraz C.,15.97,Alcaraz C.,59,19,976,2056,4.0,1.25,3-6 3-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,16.22,Machac T.,14.94,Medvedev D.,1,158,8615,379,1.05,11.0,6-3 6-2
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Wolf J.J.,UR,Bautista Agut R.,15.64,Bautista Agut R.,209,15,274,2480,4.33,1.22,3-6 7-6 6-7
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Evans D.,15.38,Coria F.,14.7,Evans D.,29,65,1542,906,1.14,5.5,6-2 6-0
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Korda S.,15.66,Nadal R.,UR,Nadal R.,38,4,1289,6515,6.0,1.12,2-6 6-1 6-7
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Opelka R.,15.45,Musetti L.,14.94,Opelka R.,17,56,2156,1000,1.44,2.75,6-1 6-4
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Martinez P.,15.19,Norrie C.,15.8,Norrie C.,49,12,1072,3305,4.5,1.2,3-6 3-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Ruud C.,15.77,Eubanks C.,15.05,Ruud C.,8,157,3915,380,1.2,4.5,7-6 6-2
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Krajinovic F.,15.17,Monfils G.,UR,Monfils G.,40,28,1212,1633,2.75,1.44,3-6 4-6
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Shapovalov D.,15.64,Davidovich Fokina A.,15.16,Shapovalov D.,13,45,3020,1115,1.4,3.0,4-6 6-4 6-2
BNP Paribas Open,3/12/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Sonego L.,15.42,Bonzi B.,15.14,Bonzi B.,21,62,1937,909,1.9,1.9,3-6 4-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Sinner J.,15.9,Djere L.,15.07,Sinner J.,10,52,3495,1041,1.11,6.5,6-3 6-3
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Sock J.,15.02,Tsitsipas S.,15.99,Tsitsipas S.,147,5,429,6325,5.0,1.16,6-7 6-3 6-7
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Brooksby J.,15.66,Khachanov K.,15.6,Brooksby J.,43,26,1153,1680,1.9,1.9,6-0 6-3
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Delbonis F.,14.92,Kyrgios N.,15.33,Kyrgios N.,34,132,1382,493,5.0,1.16,2-6 2-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Kecmanovic M.,15.29,Cilic M.,15.65,Kecmanovic M.,61,24,921,1785,2.37,1.57,6-7 6-3 7-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Querrey S.,15.05,Isner J.,UR,Isner J.,114,23,595,1801,3.2,1.36,6-7 6-7
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Johnson S.,14.97,Karatsev A.,15.56,Johnson S.,115,22,594,1933,2.75,1.44,7-6 6-4
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Koepfer D.,14.95,Rublev A.,15.77,Rublev A.,51,7,1054,4590,9.0,1.07,5-7 4-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Bublik A.,15.28,Murray A.,15.52,Bublik A.,33,88,1391,733,2.3,1.61,7-6 6-3
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,UR,Van De Zandschulp B.,15.51,Van De Zandschulp B.,9,47,3883,1096,1.28,3.75,6-7 7-6 3-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Fritz T.,15.76,Majchrzak K.,15.17,Fritz T.,20,75,2010,823,1.22,4.33,6-1 6-1
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Otte O.,15.02,Hurkacz H.,15.69,Hurkacz H.,76,11,818,3468,4.33,1.22,3-6 6-3 3-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Schwartzman D.,15.52,Ruusuvuori E.,15.52,Schwartzman D.,14,70,2660,876,1.66,2.2,5-7 6-3 6-3
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Bagnis F.,15.07,Harris L.,15.44,Harris L.,82,32,781,1393,2.3,1.61,3-6 6-4 3-6
BNP Paribas Open,3/13/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Berrettini M.,15.89,Rune H.,14.89,Berrettini M.,6,86,4928,750,1.3,3.5,6-3 4-6 6-4
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Nakashima B.,15.48,Tiafoe F.,15.47,Tiafoe F.,80,30,793,1463,1.53,2.5,4-6 4-6
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,2nd Round,3,De Minaur A.,15.44,Millman J.,15.17,De Minaur A.,31,77,1451,818,1.33,3.4,7-6 6-3
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Thompson J.,14.83,Dimitrov G.,15.55,Dimitrov G.,78,35,800,1381,3.5,1.3,6-7 2-6
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Munar J.,15.3,Carreno Busta P.,15.5,Munar J.,99,16,675,2220,3.2,1.36,4-6 6-4 7-6
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev A.,16.11,Paul T.,15.54,Paul T.,3,39,7515,1252,1.25,4.0,2-6 6-4 6-7
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Alcaraz C.,16.0,Bautista Agut R.,15.65,Alcaraz C.,19,15,2056,2480,1.44,2.75,6-2 6-0
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Medvedev D.,16.22,Monfils G.,UR,Monfils G.,1,28,8615,1633,1.12,6.0,6-4 3-6 1-6
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Nadal R.,UR,Evans D.,15.4,Nadal R.,4,29,6515,1542,1.12,6.0,7-5 6-3
BNP Paribas Open,3/14/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Shapovalov D.,15.66,Opelka R.,15.45,Opelka R.,13,17,3020,2156,1.8,2.0,7-6 4-6 4-6
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Sinner J.,15.9,Bonzi B.,15.16,Sinner J.,10,62,3495,909,1.22,4.33,7-6 3-6 6-4
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Tsitsipas S.,15.99,Brooksby J.,15.67,Brooksby J.,5,43,6325,1153,1.61,2.3,6-1 3-6 2-6
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Norrie C.,15.83,Basilashvili N.,15.48,Norrie C.,12,18,3305,2121,1.22,4.33,3-6 6-3 6-1
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Ruud C.,15.78,Kyrgios N.,15.37,Kyrgios N.,8,132,3915,493,1.8,2.0,4-6 4-6
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Kecmanovic M.,15.3,Van De Zandschulp B.,15.52,Kecmanovic M.,61,47,921,1096,2.3,1.61,7-6 7-5
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Harris L.,15.44,Berrettini M.,15.9,Berrettini M.,32,6,1393,4928,4.0,1.25,4-6 5-7
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Fritz T.,15.76,Munar J.,15.3,Fritz T.,20,99,2010,675,1.2,4.5,6-4 2-6 7-6
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Paul T.,15.54,De Minaur A.,15.44,De Minaur A.,39,31,1252,1451,1.8,2.0,6-7 4-6
BNP Paribas Open,3/15/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Isner J.,UR,Schwartzman D.,15.54,Isner J.,23,14,1801,2660,2.0,1.8,7-5 6-3
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Johnson S.,14.99,Hurkacz H.,15.71,Hurkacz H.,115,11,594,3468,3.75,1.28,6-7 3-6
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Dimitrov G.,15.55,Bublik A.,15.3,Dimitrov G.,35,33,1381,1391,1.8,2.0,6-3 6-4
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Tiafoe F.,15.47,Rublev A.,15.77,Rublev A.,30,7,1463,4590,3.2,1.36,3-6 4-6
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,4th Round,3,Kecmanovic M.,15.3,Berrettini M.,15.9,Kecmanovic M.,61,6,921,4928,3.0,1.4,6-3 6-7 6-4
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,4th Round,3,De Minaur A.,15.44,Fritz T.,15.76,Fritz T.,31,20,1451,2010,2.1,1.72,6-3 4-6 6-7
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,4th Round,3,Nadal R.,UR,Opelka R.,15.45,Nadal R.,4,17,6515,2156,1.22,4.33,7-6 7-6
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,4th Round,3,Isner J.,UR,Dimitrov G.,15.55,Dimitrov G.,23,35,1801,1381,1.9,1.9,3-6 6-7
BNP Paribas Open,3/16/2022,Masters 1000,Outdoor,Hard,4th Round,3,Rublev A.,15.77,Hurkacz H.,15.71,Rublev A.,7,11,4590,3468,1.53,2.5,7-6 6-4
BNP Paribas Open,3/17/2022,Masters 1000,Outdoor,Hard,4th Round,3,Monfils G.,UR,Alcaraz C.,16.0,Alcaraz C.,28,19,1633,2056,3.5,1.3,5-7 1-6
BNP Paribas Open,3/17/2022,Masters 1000,Outdoor,Hard,4th Round,3,Norrie C.,15.83,Brooksby J.,15.67,Norrie C.,12,43,3305,1153,1.72,2.1,6-2 6-4
BNP Paribas Open,3/17/2022,Masters 1000,Outdoor,Hard,Quarterfinals,3,Kyrgios N.,15.37,Nadal R.,UR,Nadal R.,132,4,493,6515,3.0,1.4,6-7 7-5 4-6
BNP Paribas Open,3/18/2022,Masters 1000,Outdoor,Hard,Quarterfinals,3,Alcaraz C.,16.0,Norrie C.,15.83,Alcaraz C.,19,12,2056,3305,1.36,3.2,6-4 6-3
BNP Paribas Open,3/18/2022,Masters 1000,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,15.55,Rublev A.,15.77,Rublev A.,35,7,1381,4590,3.4,1.33,5-7 2-6
BNP Paribas Open,3/18/2022,Masters 1000,Outdoor,Hard,Quarterfinals,3,Fritz T.,15.76,Kecmanovic M.,15.3,Fritz T.,20,61,2010,921,1.57,2.37,7-6 3-6 6-1
BNP Paribas Open,3/19/2022,Masters 1000,Outdoor,Hard,Semifinals,3,Rublev A.,15.77,Fritz T.,15.76,Fritz T.,7,20,4590,2010,1.44,2.75,5-7 4-6
BNP Paribas Open,3/19/2022,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,UR,Alcaraz C.,16.0,Nadal R.,4,19,6515,2056,1.61,2.3,6-4 4-6 6-3
BNP Paribas Open,3/20/2022,Masters 1000,Outdoor,Hard,The Final,3,Nadal R.,UR,Fritz T.,15.76,Fritz T.,4,20,6515,2010,1.2,4.5,3-6 6-7
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Cerundolo F.,14.93,Griekspoor T.,15.44,Cerundolo F.,103,57,668,962,3.4,1.33,7-5 4-6 6-3
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Nava E.,13.58,Gaston H.,14.94,Gaston H.,312,68,148,877,2.3,1.61,2-6 1-6
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,15.49,Kwon S.W.,UR,Nakashima B.,80,63,798,901,1.57,2.37,6-1 7-5
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Simon G.,7.67,Draper J.,14.92,Draper J.,139,146,462,435,2.62,1.5,5-7 1-6
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Cerundolo J.M.,UR,Lajovic D.,15.16,Cerundolo J.M.,122,46,541,1091,7.0,1.1,6-3 7-5
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Koepfer D.,14.98,Mcdonald M.,15.56,Mcdonald M.,64,54,899,981,3.2,1.36,7-6 4-6 4-6
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Laaksonen H.,15.17,Paire B.,15.07,Laaksonen H.,86,49,744,1041,1.9,1.9,7-6 1-6 6-4
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Millman J.,15.19,Galan D.E.,UR,Galan D.E.,73,118,838,554,1.44,2.75,4-6 2-6
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,15.06,Carballes Baena R.,14.83,Goffin D.,70,79,863,801,1.4,3.0,6-2 6-3
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Verdasco F.,UR,Coric B.,15.4,Coric B.,123,166,540,359,2.1,1.72,4-6 5-7
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Daniel T.,15.25,Munar J.,15.34,Daniel T.,106,89,641,724,2.1,1.72,6-3 6-4
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Shang J.,14.44,Kudla D.,14.85,Kudla D.,441,84,82,759,3.4,1.33,7-6 5-7 4-6
Miami Open,3/23/2022,Masters 1000,Outdoor,Hard,1st Round,3,Otte O.,15.07,Krueger M.,14.75,Otte O.,74,160,836,367,1.66,2.2,6-3 6-4
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Cressy M.,15.5,Ruusuvuori E.,15.52,Ruusuvuori E.,72,71,855,862,2.37,1.57,3-6 2-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Kyrgios N.,15.54,Mannarino A.,15.39,Kyrgios N.,102,61,673,904,1.2,4.5,7-6 6-3
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,UR,Kokkinakis T.,15.4,Kokkinakis T.,81,97,777,700,3.0,1.4,4-6 2-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,15.17,Bedene A.,15.2,Humbert U.,45,141,1098,450,1.33,3.4,6-3 3-6 6-3
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Gomez E.,14.65,Nishioka Y.,14.94,Nishioka Y.,145,96,437,705,3.75,1.28,2-6 7-6 1-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Harris L.,15.46,Bagnis F.,15.09,Harris L.,44,104,1101,657,1.3,3.5,6-3 6-3
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,15.22,Korda S.,15.67,Korda S.,43,38,1110,1269,2.75,1.44,1-6 1-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Wolf J.J.,UR,Altmaier D.,14.94,Wolf J.J.,167,69,356,868,1.53,2.5,6-4 6-4
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Coria F.,14.73,Brooksby J.,15.76,Brooksby J.,60,39,911,1195,13.0,1.04,6-3 2-6 3-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,15.16,Musetti L.,14.98,Popyrin A.,92,76,711,826,2.37,1.57,7-5 7-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Tsonga J.W.,UR,Thompson J.,14.8,Thompson J.,225,78,245,805,2.5,1.53,7-6 4-6 4-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Majchrzak K.,15.2,Baez S.,15.26,Majchrzak K.,75,66,833,889,1.72,2.1,6-4 6-3
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,15.41,Fucsovics M.,15.62,Fucsovics M.,52,55,998,977,2.1,1.72,3-6 4-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Kukushkin M.,14.9,Van De Zandschulp B.,15.52,Kukushkin M.,159,42,369,1131,3.75,1.28,6-4 6-4
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Djere L.,15.12,Rinderknech A.,15.41,Rinderknech A.,53,58,986,940,2.5,1.53,2-6 6-7
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,15.56,Bonzi B.,15.26,Paul T.,37,59,1277,912,1.5,2.62,6-4 6-4
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Delbonis F.,14.93,Murray A.,15.51,Murray A.,36,85,1302,758,5.0,1.16,6-7 1-6
Miami Open,3/24/2022,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,15.35,Sock J.,15.12,Kecmanovic M.,48,144,1056,437,1.72,2.1,7-6 6-4
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Daniel T.,15.25,Fognini F.,15.32,Fognini F.,106,34,641,1339,1.57,2.37,7-6 2-6 6-7
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Cerundolo J.M.,UR,Anderson K.,14.38,Cerundolo J.M.,122,91,541,719,4.75,1.21,7-6 3-6 6-3
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Draper J.,14.92,Norrie C.,15.89,Norrie C.,146,12,435,3395,5.0,1.16,6-7 4-6
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Carreno Busta P.,15.49,Goffin D.,15.06,Carreno Busta P.,19,70,2220,863,1.44,2.75,6-3 6-2
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Coric B.,15.4,Zverev A.,16.1,Zverev A.,166,4,359,7025,5.5,1.14,4-6 6-3 3-6
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Gaston H.,14.94,Isner J.,UR,Gaston H.,68,22,877,1846,4.0,1.25,7-6 6-4
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Ruusuvuori E.,15.52,Sinner J.,15.9,Sinner J.,71,11,862,3474,3.0,1.4,4-6 6-3 6-7
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Kokkinakis T.,15.4,Schwartzman D.,15.56,Kokkinakis T.,97,15,700,2660,2.1,1.72,4-6 7-6 6-4
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Rublev A.,15.79,Kyrgios N.,15.54,Kyrgios N.,7,102,4725,673,1.66,2.2,3-6 0-6
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Kudla D.,14.85,Sonego L.,15.41,Kudla D.,84,21,759,1902,2.62,1.5,3-6 7-6 6-4
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Galan D.E.,UR,Bublik A.,15.29,Bublik A.,118,33,554,1416,3.0,1.4,7-6 3-6 4-6
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Monfils G.,UR,Otte O.,15.07,Monfils G.,24,74,1723,836,1.25,4.0,7-6 6-1
Miami Open,3/25/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Dimitrov G.,15.58,Mcdonald M.,15.56,Mcdonald M.,29,54,1471,981,1.57,2.37,1-6 4-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Ruud C.,15.78,Laaksonen H.,15.17,Ruud C.,8,86,3870,744,1.14,5.5,6-1 6-2
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Nakashima B.,15.49,Tiafoe F.,15.5,Tiafoe F.,80,31,798,1453,1.8,2.0,6-3 6-7 4-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,15.65,Majchrzak K.,15.2,Bautista Agut R.,17,75,2375,833,1.22,4.33,6-3 6-3
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Thompson J.,14.8,De Minaur A.,15.49,De Minaur A.,78,28,805,1531,4.0,1.25,2-6 3-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Paul T.,15.56,Khachanov K.,15.64,Paul T.,37,25,1277,1623,2.0,1.8,6-4 3-6 7-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Murray A.,15.51,Medvedev D.,16.2,Medvedev D.,85,2,758,8410,6.0,1.12,4-6 2-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Martinez P.,15.26,Garin C.,15.24,Martinez P.,47,30,1077,1466,1.44,2.75,7-6 6-2
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Rinderknech A.,15.41,Hurkacz H.,15.74,Hurkacz H.,58,10,940,3513,3.4,1.33,6-7 2-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Nishioka Y.,14.94,Evans D.,15.42,Nishioka Y.,96,27,705,1567,2.5,1.53,3-6 6-4 6-3
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,UR,Kecmanovic M.,15.35,Kecmanovic M.,9,48,3803,1056,1.4,3.0,4-6 2-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Karatsev A.,15.59,Humbert U.,15.17,Karatsev A.,32,45,1428,1098,1.66,2.2,7-5 6-2
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Kukushkin M.,14.9,Fritz T.,15.79,Fritz T.,159,13,369,2920,4.0,1.25,3-6 7-5 3-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Korda S.,15.67,Ramos-Vinolas A.,UR,Korda S.,38,35,1269,1314,1.14,5.5,4-6 7-6 6-3
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Basilashvili N.,15.47,Brooksby J.,15.76,Brooksby J.,20,39,1916,1195,3.2,1.36,3-6 1-6
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Harris L.,15.46,Shapovalov D.,15.66,Harris L.,44,14,1101,2863,2.75,1.44,6-3 6-4
Miami Open,3/26/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Wolf J.J.,UR,Tsitsipas S.,15.98,Tsitsipas S.,167,5,356,6070,4.5,1.2,4-6 7-6 1-6
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Cilic M.,15.65,Popyrin A.,15.16,Cilic M.,23,92,1785,711,1.44,2.75,6-0 6-3
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,2nd Round,3,Fucsovics M.,15.62,Alcaraz C.,16.05,Alcaraz C.,55,16,977,2414,5.5,1.14,3-6 2-6
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Norrie C.,15.89,Gaston H.,14.94,Norrie C.,12,68,3395,877,1.12,6.0,6-3 7-5
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Bublik A.,15.29,Ruud C.,15.78,Ruud C.,33,8,1416,3870,3.5,1.3,3-6 2-6
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Kyrgios N.,15.54,Fognini F.,15.32,Kyrgios N.,102,34,673,1339,1.14,5.5,6-2 6-4
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Cerundolo J.M.,UR,Tiafoe F.,15.5,Tiafoe F.,122,31,541,1453,6.0,1.12,3-6 2-6
Miami Open,3/27/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Sinner J.,15.9,Carreno Busta P.,15.49,Sinner J.,11,19,3474,2220,1.53,2.5,5-7 7-5 7-5
Miami Open,3/28/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Monfils G.,UR,Cerundolo F.,14.98,Cerundolo F.,24,103,1723,668,1.16,5.0,2-6 3-6
Miami Open,3/28/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Kokkinakis T.,15.42,Kudla D.,14.95,Kokkinakis T.,97,84,700,759,1.33,3.4,7-6 4-6 7-6
Miami Open,3/28/2022,Masters 1000,Outdoor,Hard,3rd Round,3,Mcdonald M.,15.57,Zverev A.,16.1,Zverev A.,54,4,981,7025,5.0,1.16,2-6 2-6
